name,occupation,gender,orientation,wikidata_url
Grace Hopper,computer scientist,female,,http://www.wikidata.org/entity/Q11641
Ayanna Howard,computer scientist,female,,http://www.wikidata.org/entity/Q11644
Mary Jane Irwin,computer scientist,female,,http://www.wikidata.org/entity/Q11648
Leah Jamieson,computer scientist,female,,http://www.wikidata.org/entity/Q11688
Sabina Jeschke,computer scientist,female,,http://www.wikidata.org/entity/Q11689
Katherine Johnson,computer scientist,female,,http://www.wikidata.org/entity/Q11740
Lynne Jolitz,computer scientist,female,,http://www.wikidata.org/entity/Q11742
Lila Kari,computer scientist,female,,http://www.wikidata.org/entity/Q11743
Arfa Karim,computer scientist,female,,http://www.wikidata.org/entity/Q11745
Anna Karlin,computer scientist,female,,http://www.wikidata.org/entity/Q11748
Lydia E. Kavraki,computer scientist,female,,http://www.wikidata.org/entity/Q11749
Mary Kenneth Keller,computer scientist,female,,http://www.wikidata.org/entity/Q11752
Maria Klawe,computer scientist,female,,http://www.wikidata.org/entity/Q11754
Daphne Koller,computer scientist,female,,http://www.wikidata.org/entity/Q11755
Janet Kolodner,computer scientist,female,,http://www.wikidata.org/entity/Q11757
Marta Zofia Kwiatkowska,computer scientist,female,,http://www.wikidata.org/entity/Q11760
Monica S. Lam,computer scientist,female,,http://www.wikidata.org/entity/Q11763
Susan Landau,computer scientist,female,,http://www.wikidata.org/entity/Q11766
Amy L. Lansky,computer scientist,female,,http://www.wikidata.org/entity/Q11770
Corinna E. Lathan,computer scientist,female,,http://www.wikidata.org/entity/Q11771
Q11773,computer scientist,female,,http://www.wikidata.org/entity/Q11773
Ming C. Lin,computer scientist,female,,http://www.wikidata.org/entity/Q11775
Joyce Currie Little,computer scientist,female,,http://www.wikidata.org/entity/Q11777
Liuba Shrira,computer scientist,female,,http://www.wikidata.org/entity/Q11778
Nancy Lynch,computer scientist,female,,http://www.wikidata.org/entity/Q11779
Shigeru Miyamoto,computer scientist,male,,http://www.wikidata.org/entity/Q12382
Rashad Khalifa,computer scientist,male,,http://www.wikidata.org/entity/Q12780
Daniel Tammet,computer scientist,male,homosexuality,http://www.wikidata.org/entity/Q12857
Ursula Martin,computer scientist,female,,http://www.wikidata.org/entity/Q14010
Alexia Massalin,computer scientist,trans woman,,http://www.wikidata.org/entity/Q14073
Marissa Mayer,computer scientist,female,,http://www.wikidata.org/entity/Q14086
Lori McCreary,computer scientist,female,,http://www.wikidata.org/entity/Q14089
Renée Miller,computer scientist,female,,http://www.wikidata.org/entity/Q14095
Johanna Moore,computer scientist,female,,http://www.wikidata.org/entity/Q14096
Enid Mumford,computer scientist,female,,http://www.wikidata.org/entity/Q14097
Caryn Navy,computer scientist,female,,http://www.wikidata.org/entity/Q14098
Evi Nemeth,computer scientist,female,,http://www.wikidata.org/entity/Q14099
Klara Dan von Neumann,computer scientist,female,,http://www.wikidata.org/entity/Q14100
Angela Orebaugh,computer scientist,female,,http://www.wikidata.org/entity/Q14101
Wanda Orlikowski,computer scientist,female,,http://www.wikidata.org/entity/Q14102
Susan Owicki,computer scientist,female,,http://www.wikidata.org/entity/Q14104
Meredith L. Patterson,computer scientist,female,,http://www.wikidata.org/entity/Q14105
Stormy Peters,computer scientist,female,,http://www.wikidata.org/entity/Q14106
